species,description,image
merlin,"Small and fierce falcon. Dark above and paler below, with streaking on the underparts; darkness of plumage varies geographically. Feeds mainly on birds captured in flight. Found in a variety of habitats from grasslands, open forests, and especially coastal areas with shorebirds. In flight, note powerful flight, pointed wings, and quick, continuous wingbeats. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/160652121/900
moublu,Adult males are stunning: completely electric turquoise blue with limited white belly. Females are gray with blue wings and tail; some can show a rufous wash on breast. Also note thin bill and even longer wings compared with other bluebirds. Forages in open habitats with few trees. Can form large flocks in winter. Frequently perches on wires or fence posts. Nests in cavities.,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67471171/900
mouchi,"White stripe above the eye separates it from other chickadees. Otherwise, much like other chickadees: grayish overall with a big head, tiny bill, and black cap and throat. Tends to be in high-elevation mountainous areas with dry, coniferous forests. Active and aerobatic. Often in flocks with nuthatches and kinglets. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68054751/900
moudov,"Very common, widespread dove. Almost half the size of Rock Pigeon. Chunky body, small head and pointed tail. Brown with dark spots on wings. Pinkish-beige belly is slightly paler than wings. Found in a variety of habitats with some shrubs and trees; loves suburbs. Avoids dense forest, but found on forest edges.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60386921/900
norcar,"Males are entirely red with black around the base of the bill. Females are brown overall with red tail, red on wings, and red bill. Note distinctive crest in both sexes. Forages mainly for seeds in dense shrubby areas. Regularly visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63667361/900
norfli,"Large, brown woodpecker with black barring on the back and black spots on the belly. Easily recognized in flight by its bright white rump. Also note large black crescent-shaped mark on breast. Underwings are yellow or red, depending on the subspecies. Generally ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60403261/900
norhar2,"Medium-sized hawk with long tail and thin wings. Flies with wings held in a V-shape, low over open fields and marshes, listening for rodents lurking below. Distinctive foraging behavior and conspicuous white patch on rump in all plumages. Females and immatures are warm brown. Adult males gray above and whitish below with black wingtips.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70774731/900
normoc,"Gray with whitish underparts and long tail. In flight, it becomes much flashier with large white patches on the black wings and tail. Pale eye. Found in a variety of habitats with bushes and trees, from neighborhoods to desert scrub and old pastures. Mimics birds, car alarms, slamming doors, and other noises in its song, repeating a phrase 5-7 times before switching to next set of notes.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63743751/900
norpar,"One of the smallest warblers; look for short tail and sharply pointed, bicolored bill. Bluish-gray above with distinctive lime-green patch on the back, white wingbars and eye-arcs, yellow on throat, and white belly. Found in forested areas; has a fondness for nesting in Spanish moss in the southeastern U.S. Loud song is buzzy, ascending trill with sharp chip at the end; sounds like a zipper. Winters mainly in Mexico and Caribbean.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64518191/900
norpin,"Elegant, slender duck with long neck and tail. Males have a chocolate brown head with a white slash coming up the neck, white breast, and mostly gray body. Females are patterned light brown. Forages in wetlands and in fields on agricultural waste grains.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63892991/900
norsho,"Medium-sized duck; smaller than a Mallard. Huge, spoon-shaped bill visible at a distance and in flight. Breeding males have dark green head, white breast, and chestnut sides and belly. Females buffy-brown with large, distinctive bill. Chalky-blue upperwing. Forages by sifting through the water, often swimming in spirals in groups.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60312481/900
norwat,"Large, chunky warbler; dark brown above with dark streaks on pale yellowish breast. Yellowish stripe above eye. Forages for insects by walking along edges of still ponds and standing pools, constantly bobbing its backside up and down. Breeds in thickets near ponds and wet areas. Listen for its loud, three-parted, chipping song. Possible to confuse with thrushes but smaller. Winters in Central America, Caribbean, and northern South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63002141/900
nrwswa,"Dullest of the swallows. Plain brown above with indistinct brown wash across breast. Wings are relatively broad and tail is short and square. Fond of areas near water. Breeds in holes along riverbanks and other cavities and crevices. Not colonial nester like Bank Swallow. Call is a low, grating buzz that rises slightly in pitch.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68280781/900
nutwoo,"Very small woodpecker of oak and riparian woodlands. Black-and-white barring on the back and patterned flanks. Males have a red cap. Sometimes visits feeders. Most similar to Ladder-backed Woodpecker, but range barely overlaps. Slightly larger than Downy Woodpecker. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68929651/900
olsfly,"Stocky flycatcher that almost always perches conspicuously on a high bare perch with an upright posture. From the front, look for dark sides creating a vest, with a bright white stripe from throat to belly. White patches on the sides of rump are sometimes visible from behind. Most similar to pewees but larger and larger-billed, with more contrasting vest. Feeds on insects. Breeds in clearings and bogs in boreal or mountainous forests, but can be found in migration in open habitats with a mixture of woods and clearings. Distinctive whistled song is often likened to ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170855871/900
orcwar,"Nondescript warbler, generally olive overall, but different populations vary from grayer to brighter yellow. Overall very plain, but note darkish line through eye and thin pale eye arcs. Forages for insects in scrubby areas at edges of woods or low, thick shrubs. Bill is more sharply pointed than most other warblers. More common in the western U.S. and Mexico, where populations are brighter yellow-green. Birds in the eastern U.S. are scarcer and drabber gray. Bright yellow undertail coverts help separate it from similarly drab Tennessee Warbler. Winters in southern U.S. through Central America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/120747051/900
osprey,"Large, mostly white raptor that cruises over lakes, rivers, and coastal waterways in search of fish. Impressively widespread: found on every continent except Antarctica. Mostly white head and underparts; dark brown back. In flight, holds wings with a kink in the wrist (shaped like an ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60320581/900
ovenbi1,"Secretive warbler that lacks vibrant colors, but compensates with its enormous voice. Olive-brown above with black streaks on white breast and bold white eyering. Orange crown bordered by black on either side. Forages for insects by walking along branches and on the ground. Breeds primarily in areas with extensive forest. Listen for its loud song that builds in volume: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64439011/900
palwar,"Fairly dull warbler, constantly bobs its tail. Often low in vegetation, or on the ground. Plumage varies in brightness, but always shows rufous cap, pale eyebrow, and some brown streaks on breast. Forages for insects in a variety of shrubby and open habitats. Breeds in bogs and clearings in the boreal forest. One of the more common warblers wintering in the southern U.S. Also winters in the Caribbean and Yucatan Peninsula. Two populations: ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64892971/900
pasfly,"Small, olive flycatcher. Brighter yellowish than other flycatchers with two buffy wingbars. Eyering is bold and comes to a point behind the eye. Found in woodlands. Feeds on insects by sallying out to snatch them in flight. Occassionally nests under the eaves of buildings. Nearly identical to Cordilleran Flycatcher from which it is best separated by range.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65680391/900
pecsan,Among the small ,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/170727571/900
perfal,"Burly, powerful, sharp-winged raptor that feeds mainly on birds captured in flight. Found across the globe; considerable plumage variation across subspecies. Chases prey down at high speeds with continuous powerful wingbeats. Becoming increasingly common, especially in cities, where they can nest on tall buildings and feed on pigeons. Also frequents mudflats and open areas with shorebirds.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/160654851/900
phaino,"Unique bird of scrubby oak and mesquite habitats with a sleek body, shaggy crest, long tail, and staring red eyes. Males are shiny black with a bluish sheen; white wing patches visible in flight. Females and juveniles are ashy-gray. Often in small groups; forages mainly on berries (especially mistletoe).

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67452711/900
pibgre,"Compact, small gray-brown body and a stubby bill. Shorter, rounder body than a duck. Plain brown plumage year-round; not as black as a coot. Breeding adults have white bill with black ring around it. Inhabits ponds and marshes with emergent vegetation. Dives to feed mostly on fish. Black eyes.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63919931/900
pilwoo,"Large woodpecker, about the size of a crow. Inhabits hardwood forests. Powerful bill, about as long as the head, is used to chisel away decaying trees to reach insects. In flight, look for prominent white underwings and undulating flight to separate from crow. Loud drumming and calls frequently heard if they are in the area. Visits feeders in appropriate habitat. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60408691/900
pingro,"Large, plump finch of the boreal forest. Adult males are pink overall with two white wingbars and pale gray highlights. Immature males and females are not so bright but still subtly pretty; gray body with olive, yellow, or burnt-orange head and rump. Stubby bill with rounded edges. Breeds in open coniferous forests. Winters in a variety of wooded habitats, especially around fruiting trees including crabapple and mountain ash. Often extremely tame, allowing close approach.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67356151/900
pinjay,"This jay has a dusty-looking blue body and a brighter cerulean face. Shorter tail and longer, more sharply pointed bill than other jays. Very social, usually found in flocks sometimes containing dozens or hundreds of individuals. Prefers open forests with pinyon pine and juniper. Feeds almost exclusively on pine seeds, which it stashes by the thousands and retrieves months later. Gives a variety of rather clear nasal calls, as well as rougher notes. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/94974311/900
pinsis,"Small, brown, streaked finch. Some show yellow in the wing and tail. Sharply pointed bill. Short, notched tail and long wings. Often visits feeders in areas with conifers. Irruptive in many areas; can move south in only small numbers some years, large numbers in other years. Often joins flocks of goldfinches. Can be quite vocal; listen for distinctive rising buzz like a zipper being zipped.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67276581/900
pinwar,"Almost always in pine trees foraging for insects. In the spring and summer, frequently sings its loud musical trill. Males can be very bright yellow, while immature females are very dull brown; always shows two white wingbars. Bill is rather thick for a warbler. Occasionally visits suet feeders in winter. Winters in southeastern U.S.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64893901/900
plsvir,"Dull vireo with gray upperparts and white underparts. Relatively thick bill and slower movements separate this bird from other small songbirds. Combination of white spectacles and no bright colors distinguish Plumbeous from other vireos. Resident populations in northern Central America brighter, but not as bright as the slightly larger Blue-headed Vireo, which occurs as a visitor there. Found in mixed forested habitats, particularly dry, open coniferous forests. Feeds on insects.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65763191/900
prawar,"Small warbler, yellow overall with black streaks on sides and unique face pattern. Upperparts are duller olive. Reddish streaks on back are distinctive, but can be difficult to see or absent on immatures. Long tail is often pumped up and down, but not as consistently as Palm Warbler. Forages for insects in a range of shrubby habitats, from cedar-studded fields to regenerating woods to mangroves in Florida. Winters in Florida and the Caribbean.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64895071/900
purfin,"Males suffused with raspberry red, especially on head and breast. Compared to House Finch, males lack distinct streaks on sides and are overall more colorful, especially on back and wings. Females and first-year males have contrasty head pattern with pale eyebrow and darker cheek; also note well-defined streaks on sides. Breed in coniferous or mixed forests. Winters in a wider variety of habitats with trees. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67284371/900
pygnut,"The nuthatch of ponderosa pine forests. Plumage is nearly identical to Brown-headed Nuthatch, but no range overlap. Small size and gray cap separate from Red-breasted and White-breasted Nuthatches. Often in flocks, calling frequently, and high in crowns of pines. Frequently mixes with other songbirds, including chickadees and warblers. Vocal; gives variety of peeps and chips.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68038671/900
rebmer,"Long-bodied duck with a thin bill and shaggy crest. Breeding males have a dark green head, brown breast, and gray sides. Females and immature males have a brown head and gray body. Bill is dull red. Separated from Common Merganser by thinner bill, shaggier crest, and slimmer shape overall. Dives to catch fish on large bodies of water, including freshwater lakes and coastal regions. Favors saltwater more than Common Merganser.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63911811/900
rebnut,"Smaller than White-breasted Nuthatch with bold black-and-white head stripes and reddish-orange underparts (males are brighter than females). Creeps along tree trunks and branches, often upside down. Prefers coniferous forests. Nomadic; their numbers fluctuate from year to year. Visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68040881/900
rebsap,"Medium-sized woodpecker that breeds in coniferous and mixed forests. Beautiful plumage with mostly red head and breast and bold white slash on the shoulder. Some show vague pattern of black-and-white on head, but always more red than Red-naped Sapsucker. Also note mostly black back with limited white mottling. Drills neat rows of shallow holes into bark for sap; mostly forages for small insects. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65053401/900
rebwoo,"Medium-sized woodpecker that is not well named; rarely is the slight red wash on the belly visible! Instead, note the black-and-white barring on the back and wings, plain buffy breast and face, and red nape. On adult males, look for the red extending onto the crown. In flight, look for the white rump. Found in forested and suburban areas, typically preferring deciduous trees. Slowly expanding its range northward. Visits feeders, especially for suet. Nests in cavities.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64995071/900
redcro,"Stocky, large-headed finch with unique crossed bill used to pry seeds out of conifer cones. Males are dull red or orange overall with gray or brown highlights. Females are dull olive-yellow. Immatures are streakier than adults. Look for brownish wings with no wingbars. Different populations feed on different types of conifer seeds. Nomadic; breeds at any time of year, whenever there is enough food available. Often in small flocks. Rarely visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67282981/900
redhea,"This attractive diving duck often gathers by the thousands on lakes or bays in the winter. Dives to reach submerged aquatic vegetation. Nests on marshy freshwater ponds and lakes. Slightly smaller than a Mallard with rounded, puffy head. Males have reddish-brown head, straw-yellow eye, and gray body. Females are plain brown overall; a lighter blonde color than scaup and Ring-necked Duck. Best separated from Canvasback by rounded head and the male's darker gray body. About the size of Greater Scaup, but slightly larger than Lesser Scaup and Ring-necked Duck—this can be helpful when they are together in mixed flocks. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63894341/900
reevir1,"Plain olive-green above and whitish below with no wingbars. Red eye of adults is not always easy to see; immatures have brown eyes. Dark stripe through and above eye. Thicker bill than warblers, body about the same size. Found in forested areas with deciduous trees. Tends to sing later in the day than other songbirds. Listen for their monotonous song coming from the treetops. Often with flocks of chickadees and warblers during migration. Winters in South America, where it could be confused with the very similar Chivi Vireo. Best distinguished by voice.





",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65763991/900
renpha,"An oceangoing shorebird that spins frantically on the surface of water, stirring up invertebrates to eat. Breeds on the Arctic tundra; migrates inland or on the ocean; winters on the ocean. Usually found in small flocks, but can gather in incredibly large numbers, especially during fall migration. Very thin, sharp bill. Breeding plumage shows white throat, reddish patch on neck, and gray body with buffy markings on wings. Unlike most birds, female phalaropes are brighter than males. Nonbreeding much less colorful: gray above and white below with streaky-looking back and black ear patch. Occasionally found with similar-looking Red Phalarope, the only other oceanic shorebird. Red-necked is best distinguished by thinner bill and smaller size.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/164867191/900
reshaw,"Smaller than Red-tailed Hawk. Adults are beautiful with rich orange barring below and bold black-and-white checkerboard patterning on wings. Often in forested areas, where they hunt from perches. Perches on wires more frequently than Red-tailed Hawk. In flight, wings seem narrow and pushed forward compared to Red-tailed or Broad-winged Hawk; also note relatively long tail. Population in California is more richly colored (darker orange) than paler Eastern birds; while Florida birds are paler with gray head and back.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71533441/900
rethaw,"Most common roadside raptor across much of North America. Often perches atop telephone poles, light posts, and edges of trees. Incredible variation in plumages, including less common dark morphs and various regional differences. Eastern adults have brilliant reddish-orange tail and pale underparts with obvious band of dark marks across belly. Western birds are typically darker. Immatures do not have a red tail.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60384771/900
rewbla,"Males are black with red shoulder patch that is sometimes concealed. Males have rusty feather edges in the winter. Females are streaked brown and often confused with sparrows. Look for long, sharply pointed bill. Often in flocks, especially in winter. Visits feeders. Breeds in marshes and scrubby, wet fields. Distinctive song, especially as migrants arrive in early spring.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63744251/900
ribgul,"Widespread and common inland gull in the U.S. and Canada. Forages along lakes, rivers, and ponds, as well as, plowed fields, mall parking lots, and parks. Often in flocks sitting on ground or flying between roosting and foraging sites. Smaller and more slender than Herring Gull with thinner bill. Compared with California Gull, adults are lighter gray on back, thinner billed, and lack red spot on bill.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71316071/900
rinduc,"Diving duck that favors small bodies of water, such as beaver ponds and cattail marshes. Males are handsome with glossy black head and back; clean gray sides. Females are gray-brown, often with a pale area behind the bill and white eyering. Both sexes have a white band across the top of pale blue bill.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63895181/900
robgro,"Breeding adult males are black and white with bright red triangle on breast. Females and nonbreeding males are brown above with two white wingbars. Underparts are whitish with fine dark streaks. Contrasty head pattern; dark crown and cheek contrast with pale eyebrow and throat. Thick, pale pinkish bill sets them apart from similar species. Visits feeders in spring and summer. Winters in Central and South America.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63733281/900
rocpig,"Large dove common in cities, farmland, and on grain elevators around the world. Wild birds often nest on cliffs, while the feral variety has readily adapted to nest on tall structures including skyscrapers and bridges. Wide array of feral and domestic color varieties; most are gray but can be completely black, white, or orangey-brown.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66031271/900
rocwre,"True to its name, prefers rocky areas, especially rocky slopes. Often perches conspicuously and bobs up and down. Pale grayish wren with whitish throat, buffy sides, and long, slightly decurved bill. Tiny speckles on back and wings like grains of sand. Undertail coverts barred black and white. Paler overall than Canyon Wren with a pale, buffy belly. Listen for its ringing vocalization. Sexes alike.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/39523701/900
rthhum,"Only species of hummingbird that breeds in eastern U.S. and Canada. Found in a variety of wooded and brushy habitats. Males have red-and-black throat, greenish upperparts, dingy whitish belly, and dark tail. Females are green above and whitish below, lacking buffy-orange tones underneath. Readily comes to sugar water feeders and flower gardens. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/60395561/900
ruckin,"Plain olive with uneven white eyering and white wingbars. Males have red crown patch, but it's often hidden. Breeds in tall, dense conifer forests. Found in shrubby habitats, deciduous forests, parks, and suburbs during migration and winter. Gives off an energetic vibe as it moves extremely quickly and flicks its wings. Similar in plumage to Hutton's Vireo, but note tiny bill.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67474361/900
rudduc,"Small, compact duck with a long, fan-shaped tail, often held sticking up out of water. Breeding males have a chestnut body, black cap, white cheek, and baby-blue bill. Winter males have a brown body, black cap and white cheek. Females and immature males are brown overall with a dark cap and dark line through the cheek. Often in tight groups bobbing like corks on ponds and bays. Dives to forage on aquatic invertebrates. Not often seen flying.



",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/63912421/900
rufgro,"Well-camouflaged for forested areas. Square tail with dark tip. Typically seen as they flush from forest floor, exploding into the air and then gliding down towards the next hiding place. Varies in plumage from cold gray to rich rufous. Males beat wings against their chest to produce distinctive low-pitched drumming sound.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65615501/900
rufhum,"Adult males are almost entirely orange with bright white chest and some green on the back (can be solid green like Allen's Hummingbird). Throat is iridescent, and depending on the light, can look anywhere from red to orange to yellow to lime green. On females and immatures, look for orange on sides and tail to separate from Anna's and Black-chinned. Found in a variety of wooded habitats; more common in migration in suburbs, meadows, and other brushier areas. Feeds on nectar and tiny insects.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68934031/900
rusbla,Rusty edges to feathers and pale eyebrow in winter contrast with blackish feather bases. Breeding males are glossy black. Shorter tail than Common Grackle. Thinner bill than Red-winged Blackbird. Found in wooded swamps. Often in flocks; frequently mixes with Red-winged Blackbirds and Common Grackle in winter. Look for flocks perched at tops of trees bordering marshes and listen for their calls to help pick them out from large flocks of blackbirds.,https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67375011/900
sagspa1,"Found in shrubby expanses of sagebrush. Perches up conspicuously when singing; otherwise stays low and hidden. Frequently runs on the ground often with tail cocked up. Brown sparrow with gray head; very similar to Bell's Sparrow and once considered the same species. Paler than Bell's Sparrow with slightly different face pattern. Look for relatively pale gray head with white eyering, white spot in front of eye, and white mustache bordered by thin dark line. Flanks brownish with diffuse streaking; belly and breast white.  In winter, can be found together with Bell's Sparrow. Song is a jumble of mechanical, musical notes, slower than Bell's Sparrow.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/171509391/900
sagthr,"The smallest thrasher; crisp black streaking on underparts unlike most other western thrashers. Grayish brown with buffy wash on belly and sides and thin white wingbars. Long tail. Small, slightly downcurved bill. In flight, look for white corners on tail. True to its name, shows a strong affinity for sagebrush. Singing males perch conspicuously, otherwise furtive, running around on the ground in search of insects. Song is a long, loose series of musical chirps and whistles. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/32805051/900
savspa,"Plumage varies, but usually shows distinctive yellow patch in front of eye. Also note streaky breast and short tail, because not all individuals have yellow. Breeds in open areas including meadows and hayfields. Found in more open habitats than Song Sparrow; also smaller and shorter-tailed. Very rare at feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64981751/900
saypho,"Medium-sized flycatcher, smaller than a robin. Found in various open habitats. Plumage separates this bird from other flycatchers; head and upperparts are gray, but lower belly is warm salmon-color and tail is black.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/65681771/900
scatan,"Adult males are brilliant red with black wings and tail. Females and nonbreeding males are dull yellow-olive with gray or black wings. Breeds in forested areas. Song is burry series of notes, like a robin with a sore throat. Winters in South America. Occasionally visits feeders in the spring, especially after periods of rain. Prefers oranges or grape jelly.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67449631/900
scoori,"This black-and-yellow oriole prefers areas where yuccas are plentiful, often on steep hillsides. Males have a black back, head, and breast, and a yellow bellyand shoulder. Wings are black with a white wingbar and yellow shoulder patch on adult males. Females are duller with mottled greenish-gray head and back, often retaining some black on breast and throat. Young birds quite dull with streaks on the back. Listen for its whistled song, a rather fast series of clear notes. Feeds on insects, nectar, and fruit.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/40259851/900
semplo,"Small shorebird; smaller than Killdeer. Brown above and white below, with a single black breast band. Short bill with orange base and black tip. Often appears stocky with no neck. Feeds on mudflats and beaches, often mixed with other shorebirds. Even when in a flock, individuals are typically spread out rather than remaining in a tight unit.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64809171/900
semsan,"Small shorebird, falls into group called ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64824531/900
sheowl,"Medium-sized owl, more frequently seen in the daytime than other owls. Especially active around dawn and dusk, when it flies lazily over open fields or marshes in search of small mammals. Overall rather pale brown, palest on belly, with streaks and spots on wings and chest. Large buffy patch near the wingtips easily visible in flight. Females darker brown than males. Rarely heard vocalizing away from breeding grounds, where it makes a low series of hoots and a variety of harsh barking noises.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/37180721/900
shshaw,"Small hawk with relatively short rounded wings. Adults are gray above with pale orange barring below; immatures are browner and streaky. Very similar to Cooper's Hawk, especially in plumage, but smaller overall with smaller head, more squared-off tail, and more petite feet. Also note quicker, snappier wingbeats. Breeds in extensive forests. Feeds mainly on birds captured in flight. Often stalks feeders in search of prey.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70780501/900
snobun,"Bold black-and-white wing patches are distinctive in flight. Breeds on tundra at northern latitudes; forms flocks in the winter and moves south. Nonbreeding birds are overall white below with warm brown and orange tones on head and back. During the breeding season they are white with black or gray on the back. Often forms mixed flocks with other field birds in the winter.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67450281/900
snogoo,"All white with black wingtips. Pink bill and legs. Immatures have dusky smudging. “Blue Goose” is a dark morph with a blackish body and white face. Often travels in flocks of hundreds, but individuals may be found with other geese species.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/59939451/900
solsan,"Often alone. Smaller than Lesser Yellowlegs, with greener legs. Generally gray above and white below, with fine white speckling on wings and usually distinctive white spectacles. Tips body like Spotted Sandpiper, but movement isn't as quick and dramatic. Spring migration is short and fast, more likely to be seen in fall in the continental U.S. Winters in Central and South America.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64834191/900
sonspa,"One of the most common and widespread sparrows. Found in a variety of scrubby habitats both near and far from human development. Significant variation in plumage geographically. Look for thick brown streaks on whitish breast. Larger, longer-tailed and more rusty than Savannah Sparrow. Frequently visits feeders.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/66116661/900
sora,"Fairly small rail; short yellow bill, black face, and gray neck distinctive. Found in marshes with grasses or reeds; generally shy but often seen foraging at the edge of shallow water. Buffy juvenile often mistaken for much more secretive Yellow Rail; note different back pattern and the fact that if you see the bird well enough to actually note the back pattern, it is probably not a Yellow Rail. Common call is a descending high-pitched whinny; also gives a whistled ",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/164608031/900
sposan,"Small shorebird. Constantly bobs its tail while working edges of streams, ponds, and lakes for invertebrates. Several individuals may be found at the same body of water, but never forms tight flocks. Underparts spotted in summer; plain in winter. Listen for two- or three-noted whistled call as they flush from shorelines. Distinctive wingbeats: snappy and below horizontal.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64833231/900
spotow,"Large, striking, long-tailed sparrow of western North America, from Canada to Mexico. Black above with white spots on wings and back, bright rufous sides, and white belly. Eye is staring red. In flight, note white corners on tail. Forages primarily by hopping along ground, scraping away leaf litter. Inhabits scrubby areas and forest edges with thickets. Males sing from atop shrubs and low trees. Visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64991441/900
stejay,"Half black, half blue. Long, black crest. Found in evergreen forests of western United States south through Mexico to Nicaragua. Larger than a robin, smaller than a crow. Populations in the Interior have more white above eye than Pacific populations. Often in flocks and calling frequently. Regularly visits feeders, campgrounds and picnic areas. 

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/70582731/900
swahaw,"Longer-winged than Red-tailed Hawk, but otherwise the same size. Found in prairies and agricultural regions of western U.S. and Canada in warm months. Varies in color from rather pale with white belly to completely brown. Light morph is more common with brown breast band contrasting with white throat and belly. In flight from below, note dark primaries and secondaries contrasting with whitish forewing of light morph. Winters in South America and along Pacific coast of Central America. Extremely rare in U.S. in winter.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/71545031/900
swaspa,"Slightly smaller than Song Sparrow, looks duller and blurrier overall. Breast is plain gray; immatures sometimes show faint, blurry streaks. Wings are brighter rufous (reddish-brown) than other sparrows. Breeds in cattail marshes and other wetlands; found in a vareity of shrubby habitats during migration and winter, but often in wet areas. Typically not in flocks with other sparrows. Beware of juvenile Song Sparrow, but Swamp typically doesn't show such distinct streaking. Rarely visits feeders.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/64985151/900
swathr,"Uniform medium-brown above from head to tail. Distinctive pale, buffy eyering and face separates Swainson's from other thrushes. Spots are concentrated and clearly defined on upper breast, becoming smudgier towards belly. Breeds in the boreal forest. Migrates to South America for winter; very rare in the U.S. after October, unlike Hermit Thrush. Its song is flute-like, ascending spiral like Veery in reverse.",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/67460821/900
treswa,"Common and widespread swallow that is found in a variety of open habitats like fields and wetlands. Adults are iridescent blue-green above (dark in poor light) and bright white below; immatures are duller. They forage on the wing for insects, often giving cheery gurgling calls. Nests in cavities, especially bluebird boxes.

",https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/68280061/900
